DATE,tempmax,tempmin,temp,humidity,precip,windspeed,sealevelpressure,conditions,Year,month,dayofweek,temp_range
2013-04-14,37.7,23.1,28.7,39.7,2.0,22.3,1008.3,"Rain, Partially cloudy",2013,4,6,14.600000000000001
2013-04-15,37.5,21.1,28.6,41.7,0.0,17.6,1005.1,Clear,2013,4,0,16.4
2013-04-16,40.1,21.9,31.7,30.7,0.0,27.7,1001.7,Partially cloudy,2013,4,1,18.200000000000003
2013-04-17,36.4,21.0,29.9,27.4,0.0,22.3,1002.5,Clear,2013,4,2,15.399999999999999
2013-04-18,37.5,21.7,30.6,23.7,0.0,12.4,1003.4,Clear,2013,4,3,15.8
2013-04-19,37.3,21.4,30.3,27.2,0.0,14.8,1004.0,Clear,2013,4,4,15.899999999999999
2013-04-20,37.7,22.2,30.6,27.8,0.0,16.0,1003.9,Partially cloudy,2013,4,5,15.500000000000004
2013-04-21,37.0,23.9,28.4,39.5,0.0,27.7,1007.2,Partially cloudy,2013,4,6,13.100000000000001
2013-04-22,31.7,21.1,26.9,49.5,0.0,22.3,1010.4,Partially cloudy,2013,4,0,10.599999999999998
2013-04-23,34.0,23.3,29.1,42.8,0.0,14.0,1010.4,Partially cloudy,2013,4,1,10.7
2013-04-24,36.0,23.8,30.8,38.8,0.0,11.2,1010.2,Clear,2013,4,2,12.2
2013-04-25,37.7,24.8,31.5,39.1,0.0,20.5,1009.0,Partially cloudy,2013,4,3,12.900000000000002
2013-04-26,34.3,25.4,30.9,41.5,0.0,27.5,1009.0,Partially cloudy,2013,4,4,8.899999999999999
2013-04-27,37.7,24.2,31.8,32.7,0.0,24.1,1008.4,Partially cloudy,2013,4,5,13.500000000000004
2013-04-28,37.0,23.4,31.2,29.6,0.0,25.9,1006.5,Partially cloudy,2013,4,6,13.600000000000001
2013-04-29,39.1,26.5,32.8,24.3,0.0,17.3,1005.8,Partially cloudy,2013,4,0,12.600000000000001
2013-04-30,40.1,24.9,32.9,31.3,0.0,18.4,1005.9,Partially cloudy,2013,4,1,15.200000000000003
2013-05-13,37.1,24.1,30.8,45.3,0.0,14.5,1004.8,Partially cloudy,2013,5,0,13.0
2013-05-14,42.1,25.6,33.7,31.8,0.0,46.4,1002.7,Partially cloudy,2013,5,1,16.5
2013-05-15,41.1,25.9,33.8,29.6,0.0,16.3,1001.6,Partially cloudy,2013,5,2,15.200000000000003
2013-05-16,40.6,27.2,34.4,27.0,0.1,21.2,1000.0,Rain,2013,5,3,13.400000000000002
2013-05-17,42.1,25.4,34.4,25.0,0.0,20.9,1001.3,Clear,2013,5,4,16.700000000000003
2013-05-18,44.1,26.2,35.9,22.2,0.0,38.2,1000.8,Clear,2013,5,5,17.900000000000002
2013-05-19,45.0,27.2,36.7,19.2,0.0,25.8,1000.4,Clear,2013,5,6,17.8
2013-05-20,44.0,30.9,37.4,17.7,0.0,22.7,1000.9,Clear,2013,5,0,13.100000000000001
2013-05-21,46.0,29.1,37.1,18.4,0.0,24.3,1000.6,Clear,2013,5,1,16.9
2013-05-22,46.2,30.0,37.2,18.2,0.0,25.3,1000.4,Clear,2013,5,2,16.200000000000003
2013-05-23,46.1,31.0,38.2,19.1,0.0,24.8,998.8,Clear,2013,5,3,15.100000000000001
2013-05-24,47.7,31.2,38.5,22.3,0.0,27.9,998.3,Clear,2013,5,4,16.500000000000004
2013-05-25,43.1,31.8,38.1,23.7,0.0,21.1,999.4,Clear,2013,5,5,11.3
2013-05-26,43.1,30.9,37.1,23.6,0.0,22.3,1000.3,Clear,2013,5,6,12.200000000000003
2013-05-27,42.1,31.1,36.1,32.0,0.0,22.3,1000.7,Partially cloudy,2013,5,0,11.0
2013-05-28,44.0,30.5,36.5,29.4,0.0,21.7,1001.3,Partially cloudy,2013,5,1,13.5
2013-05-29,42.0,29.3,36.0,22.3,0.0,19.8,1001.1,Partially cloudy,2013,5,2,12.7
2013-05-30,40.0,29.1,34.7,22.4,0.0,19.7,1000.3,Clear,2013,5,3,10.899999999999999
2013-06-13,33.1,27.0,30.7,69.3,0.0,21.5,999.4,Partially cloudy,2013,6,3,6.100000000000001
